temperatura,humedad,radiacion,hora
26.98,27.41,1107,00:00:34
26.96,27.10,1162,00:00:38
26.94,26.94,1197,00:00:42
26.96,26.84,1197,00:00:46
26.95,26.76,1186,00:00:50
26.94,26.70,1107,00:00:54
26.95,26.60,1057,00:00:58
26.95,26.58,1114,00:01:02
26.95,26.52,1181,00:01:06
26.92,26.66,1079,00:01:10
26.91,26.72,1190,00:01:14
26.90,26.59,1083,00:01:18
26.90,26.73,1183,00:01:22
26.91,26.80,1106,00:01:26
26.93,26.84,1168,00:01:30
26.95,26.89,1151,00:01:34
26.95,26.85,1118,00:01:38
26.96,26.78,1183,00:01:42
26.97,26.63,1059,00:01:46
26.96,26.46,1183,00:01:50
26.98,26.45,1055,00:01:54
26.97,26.43,1185,00:01:58
26.96,26.39,1109,00:02:02
26.96,26.40,1104,00:02:06
26.97,26.43,1171,00:02:10
26.97,26.42,1116,00:02:14
26.97,26.41,1045,00:02:18
26.96,26.42,1125,00:02:22
26.96,26.47,1175,00:02:26
26.97,26.46,1164,00:02:30
26.97,26.47,1083,00:02:34
26.97,26.42,1162,00:02:38
26.97,26.33,1082,00:02:42
26.97,26.34,1106,00:02:46
26.97,26.33,1168,00:02:50
26.96,26.55,1142,00:02:54
26.96,26.74,1176,00:02:58
26.95,26.87,1123,00:03:02
26.97,26.94,1103,00:03:06
27.00,26.95,1173,00:03:10
27.00,27.00,1095,00:03:14
27.03,27.01,1078,00:03:18
27.06,27.18,1103,00:03:22
27.10,27.34,1104,00:03:26
27.12,27.44,1090,00:03:30
27.15,27.39,1059,00:03:34
27.17,27.23,1040,00:03:38
27.17,27.08,1102,00:03:42
27.21,27.23,1104,00:03:46
27.22,27.24,1072,00:03:50
27.24,27.06,1037,00:03:54
27.24,26.88,1053,00:03:58
27.26,27.08,1061,00:04:02
27.28,27.35,1062,00:04:06
27.29,27.55,1067,00:04:10
27.31,27.76,1040,00:04:15
27.31,28.00,1044,00:04:19
27.32,28.09,1042,00:04:23
27.32,28.12,1041,00:04:27
27.34,28.11,1042,00:04:31
27.34,28.20,1051,00:04:35
27.36,28.21,1044,00:04:39
27.36,27.96,1037,00:04:43
27.35,27.08,1040,00:00:02
27.28,26.70,1106,00:00:06
27.34,27.78,1123,00:00:10
27.38,27.62,1139,00:00:14
27.41,28.08,1109,00:00:18
27.45,28.03,1122,00:00:22
27.48,31.99,1114,00:00:26
27.49,32.33,1100,00:00:30
27.50,31.66,1277,00:00:34
27.51,31.92,1200,00:00:38
27.52,30.97,1126,00:00:42
27.53,29.61,1126,00:00:46
27.49,28.34,1103,00:00:50
27.43,27.64,1106,00:00:54
27.40,27.27,1102,00:00:58
27.36,27.14,1073,00:01:02
27.36,26.94,1072,00:01:06
27.35,26.77,1119,00:01:10
27.33,26.69,1069,00:01:14
27.32,26.48,1094,00:01:18
27.34,26.46,1082,00:01:22
27.37,26.48,1040,00:01:26
27.39,26.40,1047,00:01:30
27.34,26.23,1121,00:01:34
27.34,26.09,1104,00:01:38
27.33,26.10,1107,00:01:42
27.33,26.03,1113,00:01:46
27.29,25.75,1126,00:01:50
27.28,25.61,1053,00:01:54
27.28,25.50,1115,00:01:58
27.24,25.63,1124,00:02:02
27.24,25.93,1113,00:02:06
27.23,26.37,1118,00:02:10
27.22,26.45,1078,00:02:14
27.21,26.62,1058,00:02:18
27.23,26.94,1081,00:02:22
27.23,27.10,1099,00:02:26
27.18,27.14,1120,00:02:30
27.17,27.15,1088,00:02:34
27.18,26.87,1059,00:02:38
27.18,26.84,1104,00:02:42
27.14,27.01,1123,00:02:46
27.14,27.14,1126,00:02:50
27.16,27.16,1120,00:02:54
27.21,27.00,1121,00:02:58
27.26,26.75,1130,00:03:02
27.29,26.38,1130,00:03:06
27.28,26.34,1111,00:03:10
27.27,26.17,1101,00:03:14
27.33,26.50,1095,00:03:18
27.34,26.44,1104,00:03:22
27.35,26.33,1120,00:03:26
27.33,26.18,1139,00:03:30
27.34,26.19,1132,00:03:34
27.37,26.19,1092,00:03:38
27.39,26.42,1050,00:03:42
27.41,26.51,1143,00:03:46
27.45,26.46,1118,00:03:50
27.47,26.16,1061,00:03:54
27.50,26.08,1067,00:03:58
27.51,25.92,1103,00:04:02
27.49,25.69,1122,00:04:06
27.47,25.70,1136,00:04:11
27.48,25.69,1037,00:04:15
27.48,25.98,1136,00:04:19
27.49,26.05,1072,00:04:23
27.53,26.05,1190,00:04:27
27.57,25.98,1056,00:04:31
27.63,26.10,1136,00:04:35
27.62,26.12,1038,00:04:39
